Bedrijfsnaam,Website,Bezoekadres,Postadres,KvK,E-mail,Organisatietype,Specialisatie
Hendriks&Company,http://www.hendrikscompany.nl,"UbbergseHolleweg20,6574ASUbbergen","UbbergseHolleweg20,6574ASUbbergen",55201261,ton@hendrikscompany.nl,Niet bekend,Niet bekend
BehandelingBegrepen,http://www.behandelingbegrepen.nl/,"Oosterpark29,1092AJAlkmaar","Scharlo49,1815CNAlkmaar",62946315,olchert@behandelingbegrepen.nl,Bedrijf,eHealth
InspireHealthB.V.,http://www.bruisz.nl,"Utrechtseweg159,6862AHOosterbeek","Postbus157,6860ADOosterbeek",62839071,Niet bekend,Niet bekend,Niet bekend
MizoWoonondersteuningBV(Jaapie!),http://www.jaapie.nl,"Dorpsstraat79,7948BMNijeveen","Dorpsstraat79,7948BMNijeveen",63659018,michel@mizo-woonondersteuning.nl,Bedrijf,"eHealth,ICT,Medicaldevices"
OtéPharmaSolB.V.,http://www.ote.nl,"Vluchtoord38,5406XPUden","Vluchtoord38,5406XPUden",16076787,info@ote.nl,Bedrijf,"Farma,Medicaldevices"
MaXmo,http://www.maxmo.nl,"Bennekomseweg21,6866DAHeelsum","Bennekomseweg21,6866DAHeelsum",9075315,info@maxmo.nl,Bedrijf,"Businessdevelopment,Consulting,Financieeladvies"
HYBB.V.,www.hyb.nu,"BedrijvenparkSterckwijck
LaandeWijze23,5835DSBoxmeer","LaandeWijze23,5835DSBoxmeer",52152235,pim@hyb.nu,Bedrijf,"Bouwenelektrotechniek,Research&Development"
AccentureInnovationAwards,http://innovation-awards@accenture.com,"GustavMahlerplein90,1082MAAmsterdam","Postbus75797,1070ATAmsterdam",27162941,innovation-awards@accenture.com,Netwerkorganisatie,Businessdevelopment
BoomerwebB.V.,http://www.boomerweb.nl,"Klinkenbergerweg30,6711MKEde","Klinkenbergerweg30B,6711MKEde",9208279,info@boomerweb.nl,Bedrijf,"Consulting,eHealth,ICT"
BrabantseOntwikkelingsMaatschappijBOM,http://www.bom.nl,"GoirleseWeg15,5026PBTilburg","Postbus3240,5003DETilburg",18033506,info@bom.nl,Overheid,Ontwikkelingsmaatschappij
IdrisOncologyBV,www.idrisoncology.com,"RobertBoyleweg4,2333Leiden","RobertBoyleweg4,2333Leiden",66282519,info@idrisoncology.com,Bedrijf,"Biotechnologie,Diagnostica,Medicaldevices,Research&Development"
IVSConsultancy,http://www.ivsconsultancy.com,"Chopinstraat15,6584EJMolenhoek","Chopinstraat15,6584EJMolenhoek",61843717,j.vandendolder@ivsconsultancy.com,Niet bekend,Niet bekend
StichtingProscoop,http://www.proscoop.nl/,"LageBergweg10,7361GTBeekbergen","LageBergweg10,7361GTBeekbergen",0812625,h.bloten@progez.nl,Bedrijf,"Consultancy,Gezondheid&welzijn"
GemeenteApeldoorn,http://www.apeldoorn.nl,"Marktplein1,7311LGApeldoorn","Postbus9033,7300ESApeldoorn",8223882,bedrijvencontactpunt@apeldoorn.nl,Overheid,Gemeente
EigenZorg,http://www.Eigenzorg.com,"Zomerdijk32A,3143CTMaassluis","Bankastraat14,2585VTDenHaag",62860402,info@eigenzorg.com,Bedrijf,"eHealth,ICT"
WisseKommunikatie,http://www.wisse-worldcom.nl,"Kroonpark2,6831GVArnhem","Postbus3037,6802DAArnhem",9106271,serge.beckers@wisse-worldcom.nl,Bedrijf,"Consulting,Marketing&communicatieadvies"
VesaliusPerfectus/VirtualProteinsInternationalBV,http://www.virtualproteins.com,"Beemdstraat1,5653MAEindhoven","Beemdstraat1,5653MAEindhoven",60059419,jblauw@virtualproteins.com,Bedrijf,"Medicaldevices,Research&Development"
StruktonWorksphereB.V.,http://www.struktonworksphere.nl/,"Westkanaaldijk2,3542DAUtrecht","Westkanaaldijk2,3542DAUtrecht",30134547,info.ws@strukton.com,Bedrijf,Bouwenelektrotechniek
AlewijnseNijmegen,http://www.alewijnse.com/nl,"Energieweg46,6541CXNijmegen","Postbus65,6500ABNijmegen",10019214,Niet bekend,Niet bekend,Niet bekend
CHCProductDevelopment,http://www.chinachallenge.nl/,"Tappersweg35,2031ETHaarlem","Tappersweg35,2031ETHaarlem",34225025,martijnp@chcbiz.com,Bedrijf,"Businessdevelopment,Medicaldevices"
Orikami,http://orikami.nl/,"Ridderstraat27,6511TMNijmegen","Ridderstraat27,6511TMNijmegen",52749096,info@orikami.nl,Bedrijf,"Consulting,Domotica,eHealth"
VanDoorneN.V.,https://www.vandoorne.com/,"Jachthavenweg121,1081KMAmsterdam","Postbus75265,1070AGAmsterdam",34199342,info@vandoorne.com,Bedrijf,"Consulting,Financieeladvies,JuridischAdvies"
IndesBV,http://www.indes.eu,"Pantheon28,7521PREnschede","Postbus265,7500AGEnschede",6092522,info@indes.eu,Bedrijf,"Businessdevelopment,Medicaldevices"
ConnectedcareservicesB.V.,http://www.connectedcare.nl,"Hogestraat54,6953AWDieren","Hogestraat54,6953AWDieren",57638764,support@connectedcare.nl,Bedrijf,"Consulting,ICT"
SynthonHoldingB.V.,http://www.synthon.com,"Microweg22,6545CMNijmegen","Postbus7071,6503GNNijmegen",10144473,communications@synthon.com,Bedrijf,"Biotechnologie,Farma,Research&Development"
ROCNijmegen,http://www.roc-nijmegen.nl,"Campusbaan6,6512BTNijmegen","Postbus6560,6503GBNijmegen",10043264,info@roc.nl,Kennisinstelling,MBO
SwingByB.V.,http://www.swingby.at,"VanderGrintenstraat1,5914HHVenlo","VanderGrintenstraat1,5914HHVenlo",63153300,wil@swingby.at,Niet bekend,Niet bekend
PilloGames,http://pillogames.com,"Hurksestraat26,5652ALEindhoven","Hurksestraat26,5652ALEindhoven",66977711,ard@pillogames.com,Bedrijf,Niet bekend
MedicalBookingB.V.,www.medicalbooking.com,"DoktervanDeenweg13,8025Zwolle",",",65272676,info@medicalbooking.nl,Bedrijf,ICT
Meeus,https://meeus.com/vestigingen/arnhem,"Mr.E.N.vanKleffenstraat4,6842CVArnhem","Postbus4100,6803ECArnhem",20009028,info@meeus.com,Bedrijf,"Consulting,Financieeladvies"
SonusHealthBV,www.sonus-health.com,"Wezeweg33,8181PNHeerde","Wezeweg33,8181PNHeerde",8076110,info@sonus-health.com,Bedrijf,Medicaldevices
InmoteMTB.V.,http://www.inmotemt.nl/,"Hengelosestraat541,7521AGEnschede","Hengelosestraat541,7521AGEnschede",60428295,info@inmotemt.nl,Bedrijf,"Consulting,eHealth,ICT"
MSD,http://www.msd.nl,"Molenstraat110,5342CCOss","Postbus20,5340BHOss",59421169,info@msd.nl,Bedrijf,"Biotechnologie,Farma"
MedicalPHIT,http://www.phit.nl,"Mercatorlaan1200,3528BLUtrecht","Mercatorlaan1200,3528BLUtrecht",32086258,info@phit.nl,Bedrijf,"Consulting,eHealth,ICT"
Rockstart,http://www.rockstart.com/accelerator/digitalhealth/,"NovioTechCampus,Transistorweg7b,gebouwA,6534ATNijmegen","Transistorweg7b,6534ATNijmegen",66493153,casper@rockstart.com,Bedrijf,ehealth
Redmax,http://www.redmax.nl,"Conradstraat38,3013APRotterdam","Conradstraat38,3013APRotterdam",24432732,info@redmax.nl,Bedrijf,"Businessdevelopment,Consulting,eHealth,ICT"
Khondrion,http://www.khondrion.com/,"PhilipsvanLeydenlaan15,6525EXNijmegen(route427)","POBox9101,6500HBNijmegen",9169454,info@khondrion.com,Bedrijf,Niet bekend
WindesheimlectoraatICT-innovatiesindezorg,http://www.windesheim.nl/,"Campus2-6,8017CAZwolle","Postbus10090,8000GBZwolle",53815033,info@windesheim.nl,Kennisinstelling,HBO
PharmaCyticsBV,http://www.pharmacytics.com/,"Smidse6,5374AJSchaijk","Smidse6,5374AJSchaijk",53985737,info@pharmacytics.com,Bedrijf,Farma
Ithrive,www.sonovr.com,"Transistorweg7,6534ATNijmegen","Transistorweg7B,6534ATNijmegen",66083877,nmuller@sonovr.com,Bedrijf,eHealth
ChristelijkeOnderwijsGroepVallei&Gelderland-MiddenROCA12COG,http://www.cog.nl,"Reehorsterweg80,6717LGEde","Postbus78,6710BBEde",9125963,info@roca12.nl,Kennisinstelling,MBO
BiobiteNederlandB.V.,www.biobite.nl,"Mecklenburglaan17,1404BEBussum","Mecklenburglaan17,1404BEBussum",61075957,info@biobite.nl,Niet bekend,Niet bekend
DataComputing,www.datacomputing.nl,"Kerkenbos1079,6538BBNijmegen","Kerkenbos1079,6538BBNijmegen",65709373,ad@datacomputing.nl,Bedrijf,"Biotechnologie,Consulting,eHealth,ICT,Research&Development"
Canisius-WilhelminaZiekenhuisCWZ,https://www.cwz.nl/,"WegdoorJonkerbos100,6532SZNijmegen","Postbus9015,6500GSNijmegen",9215413,klantenservice@cwz.nl,Zorginstelling,AlgemeenZiekenhuis
Valuemerge,http://www.valuemerge.com,"Messiaenpark43,5643JSEindhoven","Messiaenpark43,5653JSEindhoven",53775872,erengul.coskun@valuemerge.com,Bedrijf,"Businessdevelopment,Consulting,Marketing&communicatieadvies"
GesundheitsnetzwerkNiederrhein,http://www.gesundheitsnetzwerk-niederrhein.de,"Mercatorstrasse22-24,D-47051Duisburg","Mercatorstrasse22-24,D-47051Duisburg",1597eV,fritzsching@gesundheitsnetzwerk-niederrhein.de,Netwerkorganisatie,Netwerkorganisatie
Cure-BoxB.V.,http://www.cure-box.com,"Poggenbeekstraat42,6813KHArnhem","Poggenbeekstraat42,6813KHArnhem",61775584,info@cure-box.com,Bedrijf,"Consulting,Farma,Medicaldevices"
StraightSystemsBV,www.straight.nl,"Kattenburg29,6651ALDruten","Kattenburg29,6651ALDruten",10036636,info@straight.nl,Bedrijf,"ICT,Investeerder"
DOVIDEQmedicalB.V.,http://www.dovideqmedical.com,"Keulenstraat8G,7418ETDeventer","Keulenstraat8G,7418ETDeventer",52693031,info@dovideqmedical.com,Bedrijf,"Medicaldevices,Research&Development"
NovioTechCampus,http://www.noviotechcampus.com,"Transistorweg7N,6534ATNijmegen",",",56004591,info@noviotechcampus.com,Netwerkorganisatie,"Businessdevelopment,Netwerkorganisatie"
DEKRACertificationB.V.,http://www.dekra-certification.nl,"Meander1051,6825MJArnhem","Postbus5185,6802EDArnhem",9085396,rene.pot@dekra.com,Bedrijf,"Consulting,Medicaldevices"
PharmCMed,http://www.PharmCMed.com,"Disselstraat2,6515DBNijmegen","Disselstraat2,6515DBNijmegen",9193906,paul.bouten@pharmcmed.com,Bedrijf,Consultancy
Konings&Meeuwissen,http://www.konings-meeuwissen.nl/,"KeizerKarelplein1,6511NCNijmegen","Postbus1457,6501BLNijmegen",9187590,info@konings-meeuwissen.nl,Bedrijf,"Consulting,Financieeladvies"
ScienceLynk,http://www.sciencelynk.eu,"Heuvelsestraat5,5976NGKronenberg","Heuvelsestraat5,5976NGKronenberg",14115668,info@sciencelynk.eu,Bedrijf,"Consulting,IPAdvies"
Sioux,http://www.sioux.eu/nl,"Esp405,5633AJEindhoven","Esp405,5633AJEindhoven",17121277,info@sioux.eu,Bedrijf,"Consulting,Medicaldevices,Research&Development"
NirimcoB.V.,www.lifescienceinsurance.nl,"Scheldestraat2A,6882NEVelp","Postbus198,6880ADVelp",9137647,contact@nirimco.nl,Bedrijf,"Consulting,Financieeladvies,JuridischAdvies"
PharmITB.V.,http://www.pharmit.nl,"Horsten1,5612AXEindhoven","Horsten1,5612AXEindhoven",64259951,info@pharmit.nl,Bedrijf,"eHealth,ICT"
XendoB.V.,http://www.xendo.com,"Schipholweg73-75,2316ZLLeiden","Postbus255,2300AGLeiden",28108787,office@xendo.com,Bedrijf,"Biotechnologie,Businessdevelopment,Consulting,Farma"
VGZZorgverzekeraarNV,http://www.vgz.nl,"NieuweStationsstraat12,6811KSArnhem","Postbus5040,6802EAArnhem",9156723,jan-luuk.de.groot@vgz.nl,Bedrijf,Zorgverzekeraar
Pantein,http://www.pantein.nl,"DokterKopstraat2,5835DVBoxmeer","Postbus288,5830AGBoxmeer",41085517,info@pantein.nl,Niet bekend,Niet bekend
StichtingZorginnovatieNederland,http://www.zorginnovatie.nl,"Zonneoordlaan17,6718TKEde","Zonneoordlaan17,6718TKEde",65508157,info@zorginnovatie.nl,"Netwerkorganisatie,verbinden,versnellen","Community,Zorginnovatieprijs"
Health~Holland,http://www.health-holland.com,"LaanvanNieuwOost-Indië334,2593CEDenHaag","Postbus93035,2509AADenHaag",27380989,info@health-holland.com,Netwerkorganisatie,Niet bekend
R2ProB.V.,www.r2pro.nl,"Croesinckplein24-26,2722EAZoetermeer","Croesinckplein24-26,2722EAZoetermeer",27313781,operations@r2pro.nl,Bedrijf,"Businessdevelopment,Consulting,Medicaldevices"
NLCVenturesNetherlandsB.V.,http://www.nlc.nl,"Paasheuvelweg25,1105BPAmsterdam-Zuidoost","Paasheuvelweg25,1105BPAmsterdam-Zuidoost",57340943,info@nlc.nl,Bedrijf,Businessdevelopment
StudioRoosMeerman,http://www.roosmeerman.com,"Coehoornstraat15,6811LAARNHEM","Coehoornstraat15,6811LAARNHEM",60131985,info@roosmeerman.com,Niet bekend,Niet bekend
VanPazBV,www.vanpaz.com,"Strobloem21,2317LDLeiden","Strobloem21,2317LDLeiden",65859022,info@vanpaz.com,Bedrijf,"Businessdevelopment,Consulting,ICT,Research&Development"
HeartHealth,http://www.hearthealth.nl,"Betuwestraat3,6811MAArnhem","Betuwestraat3,6811MAArnhem",53909739,rob@hearthealth.nl,Bedrijf,Niet bekend
GemeenteNijmegen,http://www.nijmegen.nl,"KorteNieuwstraat6,6511PPNijmegen","Postbus9105,6500HGNijmegen",9220932,gemeente@nijmegen.nl,Overheid,Gemeente
ZwiersRegulatoryConsultancy,http://www.az-regulatory.com/,"Kloosterstraat9,5349ABOss","Industrielaan63,5349AEOss",53329821,info@az-regulatory.com,Bedrijf,"Consulting,Farma,Research&Development"
StichtingIKONE,www.ikone.nl,"Postbus1515,8001BMZwolle","Postbus1515,8001BMZwolle",61392944,info@ikone.nl,Bedrijf,Consulting
BizzInnovationGroup,http://www.bizzinnovationgroup.com,"Strijpsebaan26,5508RBVeldhoven","Strijpsebaan26,5508RBVeldhoven",62362321,dr.fredvanommen@bizzinnovationgroup.com,Bedrijf,"Businessdevelopment,Consulting"
BAATMedicalProductsBV,http://www.baatmedical.com/,"F.Hazemeijerstraat800,7555RJHengelo","F.Hazemeijerstraat800,7555RJHengelo",8130406,info@baatmedical.com,Bedrijf,Medicaldevices
ReclamebureauDplusMB.V.,http://www.dplusm.nl,"Klokgebouw151,5617ABEindhoven","Postbus330,5430AHCuijk",17260763,welkom@dplusm.nl,Bedrijf,"Consulting,Marketing&communicatieadvies"
StichtingGamesforHealthEurope,http://www.gamesforhealtheurope.org,"Vonderweg1,5611BKEindhoven","Vonderweg1,5611BKEindhoven",51390019,rene@gfheu.org,Niet bekend,Niet bekend
BioVoltB.V.,www.biovolt.nl,"Prinsestraat12,7513ALEnschede","Prinsestraat12,7513ALEnschede",57112797,management@biovolt.nl,Bedrijf,"Diagnostica,eHealth,Medicaldevices"
Fundwijzer,http://www.fundwijzer.nl,"Langestraat37,3861BMNijkerk","Langestraat37,3861BMNijkerk",62474758,bart.ruitenbeek@middenduin.nl,Bedrijf,Financieeladvies
NovioTaxB.V.,www.noviotax.com,"Jonkerbosplein52,6534ABNijmegen","Jonkerbosplein52,6534ABNijmegen",65951654,info@noviotax.com,Bedrijf,"Consulting,Financieeladvies,JuridischAdvies"
HCMMedical,http://www.hcm-medical.com,"Transistorweg5F,6611BKNijmegen","Transistorweg5F,6611BKNijmegen",61599581,c.vanmunster@hcm-medical.com,Niet bekend,Niet bekend
AlbertSchweitzerZiekenhuisASZ,www.asz.nl,"AlbertSchweitzerplaats25,3318ATDordrecht",",",23091362,Niet bekend,Zorginstelling,AlgemeenZiekenhuis
NTSOptelB.V.,http://www.optel.nl/,"Kerkenbos13,6546BGNijmegen","Kerkenbos1303,6546BGNijmegen",10033907,info@nts-group.nl,Bedrijf,"Bouwenelektrotechniek,Consulting"
IVitalz,www.teledoctor.co.zm,"Transistorweg7,6534ATNijmegen","Transistorweg7B,6534ATNijmegen",68609043,sam@teledoctor.co.zm,Bedrijf,eHealth
AvicennaVenturesB.V.,http://avicenna.vc/,"Paasheuvelweg25,1105BPAmsterdam","Paasheuvelweg25,1105BPAmsterdam",65864123,info@avicenna.vc,Bedrijf,"eHealth,Investeerder,Research&Development"
QuliBV,www.quli.nl,"Zonneoordlaan17,6718TKEde","Zonneoordlaan17,6718TKEde",63690160,administratie@quli.nl,Bedrijf,"eHealth,ICT"
KadansSciencePartner,www.kadanssciencepartner.nl,"Rijksweg5,5076PBHaaren","Rijksweg5,5076PBHaaren",30268578,info@kadanssciencepartner.nl,Bedrijf,Huisvesting&Faciliteiten
StichtingMedtechPartners,http://www.medtechpartners.nl,"Velperplein8,6811AGArnhem","Postbus60055,6800JBArnhem",9212539,info@medtechpartners.nl,Netwerkorganisatie,Netwerkorganisatie
Innovergo,www.innovergo.com,"Heikampseweg38,6598BNHeijen","Heikampseweg38,6598BNHEIJEN",62782789,info@ergoextra.com,Bedrijf,Gezondheid&Welzijn
OpenHealthHub,https://www.openhealthhub.com,"JanWagenaarlaan17,3832Leusden","JanWagenaarlaan17,3832Leusden",64377679,info@openhealthhub.com,Bedrijf,eHealth
WorldStartupFactoryB.V.,http://worldstartupfactory.com,"Spaarneplein2,2515VKDenHaag","Spaarneplein2,2515VKDenHaag",63623455,info@worldstartupfactory.com,Bedrijf,"Businessdevelopment,Investeerder"
NLONederlandschOctrooibureau,http://www.nlo.eu,"AnnavanBurenPlein21,2595DADenHaag","Postbus29720,2502LSDenHaag",27263335,info@nlo.eu,Niet bekend,Niet bekend
AmgenB.V.,http://www.amgen.com,"Minervum7061,4817ZKBreda","Postbus3345,4800DHBreda",20060763,janniev@amgen.com,Bedrijf,"Biotechnologie,Farma"
RegioArnhemNijmegen,http://www.regioan.nl,"Eusebiusbuitensingel53,6802EKArnhem","Postbus9029,6800ELArnhem",9214908,cecile.de.boer@arnhemnijmegen.eu,Overheid,regionalesamenwerking
MediGroupB.V.,http://www.medigroup.nl,"EmmyAndriessestraat302,1087MLAmsterdam","EmmyAndriessestraat302,1087MLAmsterdam",56240481,info@medigroup.nl,Bedrijf,"eHealth,ICT,Medicaldevices"
MenzisZorgverzekeraar,http://www.menzis.nl,"Ruyterlaan25,7511JHEnschede","Postbus75000,7500KCEnschede",50544810,info@menzis.nl,Bedrijf,Zorgverzekeraar
YES!Delft,http://www.yesdelft.com,"Molengraafsingel12,2629JDDelft","Molengraafsingel12,2629JDDelft",27379977,nils@yesdelft.nl,Bedrijf,"Businessdevelopment,netwerkorganisatie"
CoenraadsConsultancy,,"HeinoseVeldweg2,8141RRHeino","HeinoseVeldweg2,8141RRHeino",65618017,j.h.coenraads@outlook.com,Bedrijf,Consulting
JeroenBoschZiekenhuis,http://www.jeroenboschziekenhuis.nl,"HenriDunantstraat1,5223GZDenBosch","Postbus90153,5200MEDenBosch",41084046,patientencommunicatie@jbz.nl,Zorginstelling,AlgemeenZiekenhuis
JPRAdvocaten,http://www.jpr.nl,"Zutphenseweg31B,7418AHDeventer","Postbus623,7400APDeventer",52410021,info@jpr.nl,Bedrijf,JuridischAdvies
