Medical Precision,
Plasmacure,"Een groeiend aantal patiënten heeft diabetische voet-ulcers, momenteel ongeveer 1 miljoen wereldwijd. In Nederland alleen zijn er al 30 duizend patiënten per jaar. Behandeling van deze wonden is complex, indringend en aangrijpend, en gaat gepaard met langdurige ziekenhuisopname. Uiteindelijk is bij veel patiënten de eindoplossing amputatie van de voet. De vindinginbrenger heeft een gepatenteerde koud-plasma wondbehandeling methode ontwikkeld. Deze methode stimuleert het helen door het doden van bacteriën, het stimuleren van celgroei, en het verbeteren van de doorbloeding. De innovatie bestaat uit een flexibele pad voor eenmalig gebruik en een pulser (TRL7). De behandeling duurt een minuut per dag, is pijnloos en wordt herhaald totdat de wond voldoende geheeld is."
JOHAN,"Het voorkomen van blessures is een kerndoel van topsporters. Voor revaliderende patiënten geldt dat zij zo voorspoedig mogelijk willen herstellen. Momenteel biedt de huidige monitoring onvoldoende inzicht en wordt het doel regelmatig niet gehaald. De ontwikkelaars bieden met PerformanceAnalytics een oplossing door de belasting en belastbaarheid van het lichaam centraal te stellen. De ontwikkelde technologie schetst een totaalbeeld van de sporter aan de hand van diverse parameters. Het product is momenteel gericht op het beoefenen van sport in teamverband. Iedere sporter draagt een sensor in een vest die na het uitvoeren van de activiteit uitgelezen kan worden. Middels beweging, positie tracking, hartslag en herstelformulieren wordt vervolgens de belasting en belastbaarheid gemeten en wordt gekeken of het lichaam klaar is voor een volgende inspanning (denk aan een wedstrijd of revalidatietraining). Deze analyse wordt uitgevoerd op een ontwikkeld intelligent platform, waarbij benchmarks tot de mogelijkheden behoren. De sensoren zijn gemaakt met een ESA (European Space Agency) gelicenseerde technologie voor het genereren van data van een hoge kwaliteit. De unieke technologie maakt de sensoren betaalbaar en daarmee toegankelijk voor diverse doelgroepen."
Fluidbalance,"De vochtbalans is een waardevolle maat voor de klinische conditie van de patiënt. Om de vochtbalans te berekenen, leest de verpleegkundige (tot één keer per uur) handmatig de stand van het infuussysteem en de katheterzak af. Deze handmatige registratie van de vochtbalans is onnauwkeurig, foutgevoelig en tijdrovend. Ontsporing van de vochtbalans wordt hierdoor vaak pas (te) laat opgemerkt. De vindinginbrenger ontwikkelt een methodiek voor nauwkeurige registratie van de vochtbalans op basis van draadloze sensor(en), mobiele applicatie en een algoritme. Het algoritme ondersteunt artsen door het leveren van datagedreven decision-support. De innovatie ontzorgt verpleegkundigen door continue monitoring van vochtbalans. Daarnaast voorkomt tijdige notificatie bij overschrijding van drempelwaarden complicaties."
PerfectPose,"Door een verkeerde houding ervaart 60% tot 90% van de Nederlanders tenminste een keer in zijn leven nekklachten en lage rugpijnklachten. Per jaar komen er 600.000 nieuwe gevallen bij en de gepaard gaande zorgkosten zijn hoog: ongeveer € 1,3 miljard (2011). De huidige behandeling richt zich op het verlichten van klachten en bestaat vaak uit fysiotherapie maar het effect hiervan is in de meeste gevallen helaas tijdelijk, omdat de verkeerde houding niet afgeleerd wordt. De vinding is een op elektromyografie (EMG) gebaseerd biofeedback systeem. Door het plakken van een sensor op de betrokken spierengroepen, wordt het spiersignaal doorgestuurd via bluetooth. Een algoritme bepaalt realtime de duur en hoogte van de spieractiviteit, welke vervolgens worden teruggekoppeld aan de gebruiker. Op dit moment kent Nederland geen landelijke voorlichtingscampagne gericht op het voorkomen van (chronische) nek- en rugklachten. Uit meerdere onderzoeken blijkt biofeedback op een duurzame manier te helpen tegen gespannen spieren en verkeerde houdingen."
Braster,"In Nederland worden alle vrouwen tussen de 50 en 75 jaar elke twee jaar gescreend op borstkanker. Doordat het screeningprogramma pas start vanaf 50-jarige leeftijd en door de lage herhaalfrequentie, wordt ruim 40% van de borstkankergevallen pas in een later stadium ontdekt, wat de overlevingskans ernstig verlaagt. De Mamascan is een zelfscreener voor thuisgebruik die vrouwen de kans geeft veranderingen in de borst tijdig te vinden, en hier snel op te kunnen reageren. Zo kunnen meer borsttumoren in een vroeg stadium worden gevonden, en wordt de overlevingskans verhoogd. De Mamascan is aanvullend aan de bestaande screeningprogramma’s en is niet bedoeld om deze te vervangen. De technologie is gebruiksvriendelijk, handzaam en gebruikt data van eerdere meetmomenten om de precisie constant te verbeteren. Het product is gepatenteerd en door de geringe kosten is het voor een grote groep consumenten een betaalbare oplossing voor thuis."
MindAffect,"Het locked-in syndroom (LIS) is een toestand waarbij de patiënt ‘opgesloten zit’ in zijn eigen lichaam door een gedeeltelijke of gehele verlamming. Patiënten zijn zich bewust van hun omgeving (100% alert), maar zijn niet in staat om interactie te hebben of te communiceren. Dit komt doordat ook de gezichts- en vocale spieren niet meer aangestuurd kunnen worden. LIS kan worden veroorzaakt door o.a. ALS, een trauma, hersenbloeding, herseninfarct of acute spierstoornissen, maar de diagnose is moeilijk. De prognose voor LIS-patiënten is momenteel slecht en de kwaliteit van leven laag, omdat zij niet in staat zijn om onafhankelijk te functioneren en omdat communicatie niet of nauwelijks mogelijk is. Brainlink heeft een brain computer interface (BCI) ontwikkeld waarmee LIS-patiënten kunnen communiceren/interactie hebben. De BCI zorgt ervoor dat een computer kan worden aangestuurd door hersensignalen. Patiënten dragen een EEG-cap die de hersenactiviteit meet. Door zich te focussen op een speciaal ontworpen stimulus, zoals bijvoorbeeld een toetsenbord, kan de BCI deze stimulus koppelen aan de hersensignalen. Patiënten kunnen hierdoor letters spellen. De gepatenteerde innovatie is uniek, omdat het snel en betrouwbaar is en geen training vereist. De techniek is daarnaast eenvoudig te integreren met andere technologieën en daarmee bruikbaar voor diverse applicaties."
Meds2GO,"Een grote groep patiënten ervaart problemen met het onder de juiste condities bewaren van medicijnen, in het bijzonder wanneer zij op vakantie of op reis willen gaan. Huidige hulpmiddelen geven een zeer beperkte reistijd (± 12 uur) en totaal geen zekerheid over de temperatuur van de medicijnen. Andere oplossingen zijn groot of zwaar en daarom niet geschikt. De vindinginbrenger ontwikkelt een draagbare koelingscontainer die 3 dagen, zonder opladen, medicijnen kan vervoeren met een temperatuurvoorwaarde tussen de 2 en 8 graden Celsius. De container bestaat uit verschillende lagen (isolatie) materialen, waarbij de radiatie tussen binnen en buiten zo veel mogelijk wordt buitengesloten. Er bestaan geen producten die een dergelijke reistijd kunnen garanderen. Daarnaast is het monitoren van de temperatuur op veel producten niet aanwezig. Meds2Go geeft dus zowel de vrijheid om bijvoorbeeld lange reizen te maken en de zekerheid over de conditie van de medicijnen."
Tetcon,"Tijdens een calamiteit zijn veel immobiele personen niet in staat zichzelf in veiligheid te brengen. Het veilig vervoeren van deze personen van trappen af of door deuren kost veel tijd, op een moment dat hulpverleners juist weinig tijd hebben. Deze innovatie biedt nieuwe mogelijkheden om snel en veilig deze patiënten te evacueren. Hulpverleners die werkzaam zijn in noodsituaties werken momenteel met zware en grote brancards, waardoor de hulpverlening langer duurt dan gewenst in sommige situaties en daarnaast is de fysieke belasting groot voor de hulpverleners. In de voertuigen (ambulances, brandweerauto’s etc.) is weinig ruimte voor een evacuatie hulpmiddel, deze innovatie biedt hiervoor een oplossing. De innovatie bestaat uit een luchtcompartiment dat is omhuld middels een brandwerend textiel. Hierdoor wordt het hulpmiddel klein, waardoor deze inzetbaar wordt in de voertuigen van diverse hulpverleners. Het ontwikkelteam ontwikkelde in 2012 succesvol een evacuatie hulpmiddel voor een ziekenhuis, dat inmiddels breed wordt ingezet binnen BHV-organisaties. Tijdens de pilotfase is gebleken dat de grootte van deze innovatie een belemmering is in de toepasbaarheid. Door miniaturisering zal dit hulpmiddel inzetbaar zijn voor een groot aantal dienstverlenende voertuigen. Het patent is ingediend."
Hugsy,"Bij vroeggeboorte of ziekte moeten baby’s vaak lange tijd in een couveuse in het ziekenhuis verblijven. Dit gebeurt tijdens een periode dat de baby erg kwetsbaar is, en waar lichamelijk contact met de moeder van groot belang is. Contact met de huid werkt rustgevend voor de baby; vooral de hartslag van de moeder is hierbij belangrijk. De huidige couveuses betrekken de maternale hartslag niet, terwijl dit een significant effect heeft op de vooruitgang van de baby. De uitvinding bestaat uit twee onderdelen: een multifunctionele deken en een hartslag- module. De deken is geschikt te gebruiken als buidel, voorkomt kou tijdens verplaatsing en houdt de baby comfortabel in de incubator. De module neemt de hartslag van de moeder op tijdens het buidelen. Door middel van geluid en beweging wordt de hartslag gesimuleerd in de incubator."
Scinvivo,"Optical Coherence tomography (OCT) is een beeldvormende techniek die lijkt op de werking van echografie, maar licht gebruikt in plaats van geluidsgolven. OCT levert dwarsdoorsnedes van het te onderzoeken gebied op die gecombineerd kunnen worden tot een 2D-beeld. OCT wordt veel gebruikt in oogheelkunde en in toenemende mate ook om in het lichaam beelden te acquireren. Met deze nieuwe diagnostiek kan voorkomen worden dat er ten onrechte operaties plaatsvinden, een probleem dat bij de huidige diagnostiek wel speelt (vals positieven). De vindinginbrenger presenteert een innovatieve technologie op gebied van OCT die als katheter geplaatst wordt in een endoscoop. Op deze manier kan er in weefsel worden gekeken en kunnen er real-time optische biopsies worden uitgevoerd. Dit maakt bijvoorbeeld monitoren van tumorgroei mogelijk. Met name blaaskanker is een focusgebied van de startup, maar meerdere tumorvormen zijn mogelijk om te monitoren."
Idris Oncology,"Kanker is een patiënt-specifieke ziekte, met zelfs verschillen tussen tumoren binnen een patiënt. Om het nog lastiger te maken hebben tumorcellen het karakter om in korte tijd te veranderen. Dokteren kunnen deze veranderingen van tumorcellen alleen monitoren middels een biopsie, wat pijnlijk is voor de patiënt. De vindinginbrengers ontwikkelen een robuuste diagnostische tool die alle mutaties binnen de tumoren periodiek in beeld brengt. De vinding is een katheter die ingediend moet worden in de bloedbaan en aldaar kankercellen in de bloedbaan opvangt met behulp van specifieke antilichamen die op het oppervlak van de katheter gecoat zijn. Omdat deze minder invasieve methode elke keer voor een chemotherapiebehandeling wordt ingezet is het mogelijk om het effect van de behandeling veel beter in kaart te brengen en kan er bijgestuurd worden indien mogelijk."
Sensius,"De vooruitzichten voor mensen met hoofd-hals kanker zijn somber. Afhankelijk van het type van de aandoening is de kans op overleving na 5 jaar minder dan 50%. Na een eerste behandeling wordt de helft van alle patiënten geconfronteerd met een terugkerende tumor. De wereldwijde incidentie van kanker in het hoofd-hals gebied is 550.000 per jaar. De behandelmogelijkheden voor deze patiëntenpopulatie zijn beperkt vanwege de bijeffecten. Ook is de behandeling complex, want bijeengepakt op een klein gebied zitten veel vitale organen in combinatie met vitale stromen."
Jim-FIT,Veel patiënten die fysiotherapie krijgen zijn onvoldoende in staat de oefeningen optimaal uit te voeren. Dit komt doordat patiënten oefeningen vergeten maar ook doordat zij geen feedback krijgen op de uitvoeringen. Diverse zorgprofessionals hebben behoefte aan een nauwkeurige bewegingsanalyse en een mogelijke feedbackloop. Zo kan het herstel van de patiënt gemonitord worden en krijgt de patiënt verbeterpunten voor de training. Huidige methoden voor een bewegingsanalyse zijn duur en intensief. De patiënten worden lang gemonitord en de resultaten laten vaak langer op zich wachten.
HaptiCore,"Binnen de zorgmarkt is er een beweging zichtbaar waarbij patiënten niet meer in de revalidatiekliniek revalideren van een blessure maar in de thuissituatie. Het is voor de patiënt immers prettiger om thuis te revalideren en het scheelt kostbare bezetting en personeel binnen een revalidatiecentrum. Technologieën kunnen helpen bij het mogelijk maken van hoog kwalitatieve thuis-revalidatie. De sleutel tot een volledig functioneel herstel van hand/pols blessures is intensieve therapie. Momenteel bestaan er echter weinig betaalbare en veelzijdige apparaten die dit mogelijk maken, zowel in de thuissituatie als in de revalidatiekliniek."
Qumulus,"Decubitus is iedere vorm van weefselversterf, veroorzaakt door de inwerking op het lichaam van druk-, schuif- en wrijfkrachten, of een combinatie daarvan; een ernstige medische complicatie. Decubitus (drukwonden) komt vaak voor bij langdurig zieken en wordt met het vergrijzen van de bevolking een ernstiger probleem. Deze complicatie veroorzaakt veel leed bij patiënten en kost de gezondheidszorg ongeveer een half miljard euro per jaar. Momenteel is decubitus een betrouwbare maat voor de kwaliteit van de zorg in diverse instellingen. Daarmee is het vinden van een oplossing voor zowel patiënt als zorginstelling van groot belang."
Vacis,"Nierpatiënten kunnen gebruik maken van peritoneale dialyse of hemodialyse om hun bloed te filteren. Bij een hemodialyse wordt de bloedbaan gekoppeld aan een (extern) apparaat dat het bloed buiten het lichaam filtert. Via een bloedvat, meestal in de arm, wordt toegang tot de bloedbaan verkregen door een shunt te plaatsen. Deze shunt vormt echter de achilleshiel van de hemodialyse behandeling, omdat deze shunt zeer gevoelig is voor infecties. Het maken van lichaamseigen bloedvaten biedt een oplossing voor deze problemen."
Hy2Care,"Artrose is de meest voorkomende chronische reumatische aandoening. Dit medisch probleem komt vaak voor: meer dan 100 miljoen patiënten in de westerse wereld worden getroffen. Dit aantal neemt steeds meer toe wat er toe zal leiden dat artrose wereldwijd de 4e ziekte wordt die zorgt voor een lichamelijke beperking. De gevolgen voor patiënten, het zorgstelsel en daarmee ook de economie zijn dan groot. De huidige behandeling bestaat o.a. uit microfracturatie, dure celtherapie, fysiotherapie en het innemen van pijn- en ontstekingsremmers. In erge gevallen is een kunstgewricht de enige optie. Deze hebben echter een beperkte levensduur. De vindinginbrenger ontwikkelt een injecteerbare hydrogel dat het kraakbeen ondersteunt en repareert. De hydrogel bestaat uit een mengsel van natuurlijke polymeer conjugaten die zich verbinden in een milde enzymatische reactie. Door middel van een kijkoperatie wordt de hydrogel toegediend in het desbetreffende gewricht, via een pleister voor het kraakbeenweefsel."
Somnox,"Ruim 40% van de Nederlanders heeft last van een slaapstoornis. Dit leidt tot een laag energieniveau en soms zelfs tot depressies. De behandeling hiervan beperkt zich momenteel voornamelijk tot medicatie, met vaak vervelende (verslavende) bijwerkingen. In Nederland kosten slaapproblemen de gezondheidszorg € 54 mln. Om het gebruik van slaapmiddelen terug te dringen en de kern van het gezondheidsprobleem aan te pakken is er gezocht naar een hulpmiddel dat laagdrempelig is, niet-medicinaal en betaalbaar. De vinding bestaat uit een kussenvormig figuur met een zacht omhulsel. De geïntegreerde elektronica simuleert de ademhaling, detecteert in welke slaapfase men is, kan naar behoefte muziek afspelen en gebruikt een wake-up mechanisme voor de ontwakingsfase. Een niet-medicinaal hulpmiddel tegen slaaploosheid bestaat niet. Het ontwikkelteam is één van de eerste die technologie inzet om niet alleen slaapfases te meten maar ook om mensen actief in slaap te brengen."
